1,7,57.3
1,11,57.3
1,15,56.8
1,19,56.9
1,23,57.3
1,3,56.9
2,7,57.1
2,11,57
2,15,56.3
2,19,57.2
2,23,57.1
2,3,57.1
3,7,57.8
3,11,57.1
3,15,56.5
3,19,56
3,23,56.6
3,3,56.3
4,7,56.5
4,11,56.6
4,15,56.5
4,19,56.1
4,23,56.1
4,3,56.4
5,7,55.9
5,11,57.9
5,15,58.8
5,19,55.9
5,23,55.8
5,3,51.8
6,7,51.1
6,11,48.6
6,15,48.7
6,19,49.9
6,23,86
6,3,90
7,7,67
7,11,65.4
7,15,62.2
7,19,61.9
7,23,59.8
7,3,55.8
8,7,53.8
8,11,52.9
8,15,52.5
8,19,52.6
8,23,52.2
8,3,52.5
9,7,53
9,11,54
9,15,63
9,19,60
9,23,68
9,3,59.7
10,7,55.6
10,11,54.4
10,15,58
10,19,59
10,23,58
10,3,58
11,7,58.2
11,11,59.4
11,15,57
11,19,59
11,23,59
11,3,62
12,7,60.4
12,11,61.7
12,15,61.8
12,19,61
12,23,58
12,3,57
13,7,56.8
13,11,57.2
13,15,57
13,19,57
13,23,57
13,3,57
14,7,52
14,11,53.2
14,15,56.9
14,19,57.8
14,23,58
14,3,58
15,7,58.6
15,11,58.7
15,15,59.2
15,19,57.7
15,23,58
15,3,57
16,7,58
16,11,58.6
16,15,58.4
16,19,58.7
16,23,58
16,3,58
17,7,58.2
17,11,58.2
17,15,58.1
17,19,58.2
17,23,61.4
17,3,61.4
18,7,60.1
18,11,60.5
18,15,79.8
18,19,60.3
18,23,60.1
18,3,60.1
19,7,62.4
19,11,62.3
19,15,60.7
19,19,60.8
19,23,60
19,3,60
20,7,60.1
20,11,59.4
20,15,57.7
20,19,57.6
20,23,57
20,3,57
21,7,57.7
21,11,57.1
21,15,57.1
21,19,57.1
21,23,57.2
21,3,58
22,7,57.6
22,11,58
22,15,60.4
22,19,56.1
22,23,55.5
22,3,54.3
23,7,52.4
23,11,52
23,15,51.2
23,19,49.7
23,23,50.1
23,3,49.8
24,7,50.1
24,11,50.4
24,15,49.8
24,19,49.6
24,23,43.3
24,3,50.2
25,7,52.2
25,11,53.7
25,15,67.2
25,19,60.2
25,23,57.4
25,3,57.7
26,7,57.5
26,11,58
26,15,58
26,19,58
26,23,58.4
26,3,58.7
27,7,58.6
27,11,59
27,15,58
27,19,59
27,23,58.7
27,3,57.8
28,7,57
28,11,57
28,15,57.3
28,19,57.9
28,23,58.1
28,3,58.1
