1,6,0.46
1,14,0.43
1,22,0.43
2,6,0.4
2,14,0.4
2,22,0.42
3,6,0.44
3,14,0.42
3,22,0.42
4,6,0.43
4,14,0.45
4,22,0.42
5,6,0.42
5,14,0.43
5,22,0.44
6,6,0.46
6,14,0.46
6,22,0.44
7,6,0.47
7,14,0.41
7,22,0.42
8,6,0.44
8,14,0.42
8,22,0.42
9,6,0.5
9,14,0.4
9,22,0.4
10,6,0.42
10,14,0.44
10,22,0.42
11,6,0.44
11,14,0.4
11,22,0.41
12,6,0.42
12,14,0.41
12,22,0.41
13,6,0.41
13,14,0.4
13,22,0.44
14,6,0.41
14,14,0.45
14,22,0.4
15,6,0.44
15,14,0.42
15,22,0.4
16,6,0.46
16,14,0.46
16,22,0.5
17,6,0.44
17,14,0.45
17,22,0.44
18,6,0.45
18,14,0.41
18,22,0.41
19,6,0.33
19,14,0.4
19,22,0.4
20,6,0.42
20,14,0.42
20,22,0.4
21,6,0.41
21,14,0.42
21,22,0.42
22,6,0.46
22,14,0.45
22,22,0.45
23,6,0.48
23,14,0.48
23,22,0.45
24,6,0.45
24,14,0.47
24,22,0.44
25,6,0.42
25,14,0.44
25,22,0.46
26,6,0.42
26,14,0.41
26,22,0.44
27,6,0.42
27,14,0.44
27,22,0.44
28,6,0.4
28,14,0.45
28,22,0.4
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
